fecha,distrito,densidad_poblacional,dia_semana,mes,feria,evento_especial,clima,historial_residuos,tipo_zona,actividad_comercial,bloqueos,transitabilidad_vial,residuos_generados
2023-01-01,Periférica,7000,Domingo,1,0,1,Soleado,161.1,Mixto,60,0,1,161.7
2023-01-02,Sur,8000,Lunes,1,0,0,Nublado,53.1,Residencial,65,0,1,109.4
2023-01-03,Sopocachi,10500,Martes,1,0,1,Nublado,53.2,Residencial,80,0,1,195.8
2023-01-04,Centro,12000,Miércoles,1,0,0,Soleado,142.6,Industrial,95,0,1,452.5
2023-01-05,Centro,12000,Jueves,1,0,0,Lluvia,147.1,Comercial,95,0,1,352.2
2023-01-06,Periférica,7000,Viernes,1,0,0,Nublado,169.8,Comercial,60,0,1,202.4
2023-01-07,Periférica,7000,Sábado,1,0,0,Nublado,152.6,Comercial,60,0,1,164.4
2023-01-08,Miraflores,10000,Domingo,1,0,0,Tormenta,116.3,Comercial,85,0,1,190.1
2023-01-09,Periférica,7000,Lunes,1,0,0,Lluvia,141.3,Mixto,60,0,1,165.6
2023-01-10,Sopocachi,10500,Martes,1,0,0,Soleado,52.0,Comercial,80,0,1,192.5
2023-01-11,San Pedro,9000,Miércoles,1,1,0,Soleado,78.2,Mixto,75,0,1,265.7
2023-01-12,San Pedro,9000,Jueves,1,0,0,Lluvia,53.1,Residencial,75,0,1,148.9
2023-01-13,Cotahuma,9500,Viernes,1,0,0,Nublado,64.5,Residencial,70,0,1,166.2
2023-01-14,Max Paredes,11000,Sábado,1,0,0,Soleado,76.3,Mixto,90,0,1,204.3
2023-01-15,Villa Fátima,8500,Domingo,1,0,0,Lluvia,148.4,Comercial,50,0,1,154.3
2023-01-16,San Pedro,9000,Lunes,1,0,0,Tormenta,94.6,Mixto,75,0,0,191.5
2023-01-17,Centro,12000,Martes,1,0,0,Soleado,58.9,Residencial,95,0,1,246.1
2023-01-18,Cotahuma,9500,Miércoles,1,0,0,Lluvia,75.3,Residencial,70,0,1,147.9
2023-01-19,Villa Fátima,8500,Jueves,1,0,0,Lluvia,127.7,Mixto,50,0,1,145.0
2023-01-20,Cotahuma,9500,Viernes,1,0,0,Tormenta,195.4,Mixto,70,0,1,198.9
2023-01-21,Zona Sur,7500,Sábado,1,0,1,Nublado,177.0,Industrial,55,0,1,222.0
2023-01-22,Cotahuma,9500,Domingo,1,0,0,Nublado,91.7,Industrial,70,0,1,180.9
2023-01-23,Periférica,7000,Lunes,1,0,0,Soleado,157.6,Mixto,60,0,1,142.2
2023-01-24,Periférica,7000,Martes,1,0,0,Tormenta,150.1,Comercial,60,0,1,150.4
2023-01-25,Cotahuma,9500,Miércoles,1,0,0,Nublado,78.1,Mixto,70,0,1,196.3
2023-01-26,Max Paredes,11000,Jueves,1,0,0,Lluvia,135.7,Industrial,90,0,1,332.9
2023-01-27,San Pedro,9000,Viernes,1,1,0,Soleado,106.4,Comercial,75,0,0,307.0
2023-01-28,Cotahuma,9500,Sábado,1,1,0,Tormenta,102.0,Residencial,70,0,1,159.5
2023-01-29,Periférica,7000,Domingo,1,0,0,Soleado,71.8,Mixto,60,0,0,118.0
2023-01-30,Miraflores,10000,Lunes,1,0,0,Tormenta,192.3,Comercial,85,0,1,266.9
2023-01-31,Sur,8000,Martes,1,1,0,Soleado,99.8,Comercial,65,0,1,216.5
2023-02-01,Max Paredes,11000,Miércoles,2,0,0,Soleado,122.9,Industrial,90,0,1,285.4
2023-02-02,Max Paredes,11000,Jueves,2,1,0,Tormenta,106.0,Comercial,90,0,1,295.9
2023-02-03,Zona Sur,7500,Viernes,2,0,0,Lluvia,122.9,Industrial,55,1,0,210.4
2023-02-04,San Pedro,9000,Sábado,2,0,0,Lluvia,98.1,Residencial,75,0,1,130.9
2023-02-05,Zona Sur,7500,Domingo,2,0,0,Nublado,66.5,Comercial,55,0,1,90.1
2023-02-06,San Pedro,9000,Lunes,2,0,0,Nublado,139.7,Residencial,75,0,1,155.4
2023-02-07,Cotahuma,9500,Martes,2,0,0,Lluvia,106.5,Industrial,70,0,1,208.8
2023-02-08,Zona Sur,7500,Miércoles,2,1,0,Lluvia,71.7,Residencial,55,0,1,115.2
2023-02-09,Villa Fátima,8500,Jueves,2,0,0,Tormenta,147.4,Residencial,50,0,0,113.0
2023-02-10,Zona Sur,7500,Viernes,2,0,0,Lluvia,98.9,Residencial,55,0,1,105.1
2023-02-11,Sopocachi,10500,Sábado,2,0,0,Tormenta,159.8,Industrial,80,0,1,212.9
2023-02-12,Miraflores,10000,Domingo,2,1,0,Lluvia,191.7,Residencial,85,0,1,221.0
2023-02-13,Sur,8000,Lunes,2,0,0,Lluvia,167.6,Residencial,65,0,1,144.6
2023-02-14,Periférica,7000,Martes,2,0,0,Lluvia,80.8,Industrial,60,0,1,121.5
2023-02-15,Zona Sur,7500,Miércoles,2,1,0,Lluvia,179.7,Industrial,55,0,1,183.9
2023-02-16,Sopocachi,10500,Jueves,2,1,0,Nublado,83.3,Mixto,80,0,1,248.6
2023-02-17,Zona Sur,7500,Viernes,2,1,0,Tormenta,134.8,Residencial,55,0,1,126.3
2023-02-18,Miraflores,10000,Sábado,2,0,0,Nublado,192.8,Industrial,85,0,1,260.9
2023-02-19,San Pedro,9000,Domingo,2,0,0,Nublado,115.4,Comercial,75,0,1,172.0
2023-02-20,Centro,12000,Lunes,2,1,0,Lluvia,158.2,Residencial,95,0,1,334.3
2023-02-21,Miraflores,10000,Martes,2,1,0,Nublado,122.3,Comercial,85,0,1,306.4
2023-02-22,San Pedro,9000,Miércoles,2,0,0,Lluvia,97.2,Residencial,75,0,1,133.8
2023-02-23,Periférica,7000,Jueves,2,0,0,Nublado,124.2,Comercial,60,1,1,237.1
2023-02-24,Periférica,7000,Viernes,2,0,0,Nublado,163.4,Comercial,60,0,1,170.7
2023-02-25,Sur,8000,Sábado,2,0,0,Lluvia,51.7,Mixto,65,0,1,102.5
2023-02-26,Max Paredes,11000,Domingo,2,0,0,Nublado,166.8,Residencial,90,0,1,202.9
2023-02-27,Sur,8000,Lunes,2,1,0,Tormenta,140.7,Comercial,65,0,1,224.1
2023-02-28,Centro,12000,Martes,2,0,0,Lluvia,103.7,Comercial,95,0,1,262.9
2023-03-01,Centro,12000,Miércoles,3,0,0,Lluvia,140.5,Mixto,95,0,0,305.2
2023-03-02,Periférica,7000,Jueves,3,0,0,Lluvia,94.9,Industrial,60,0,1,138.9
2023-03-03,Cotahuma,9500,Viernes,3,0,0,Soleado,139.0,Residencial,70,0,1,166.3
2023-03-04,Periférica,7000,Sábado,3,1,0,Nublado,192.9,Mixto,60,0,0,186.1
2023-03-05,Centro,12000,Domingo,3,0,0,Nublado,175.1,Comercial,95,0,1,309.5
2023-03-06,Sopocachi,10500,Lunes,3,0,0,Soleado,116.8,Industrial,80,0,1,266.7
2023-03-07,Miraflores,10000,Martes,3,0,1,Tormenta,168.4,Comercial,85,0,1,279.2
2023-03-08,Villa Fátima,8500,Miércoles,3,0,0,Lluvia,180.4,Industrial,50,0,1,163.8
2023-03-09,Periférica,7000,Jueves,3,0,0,Lluvia,113.4,Industrial,60,0,1,124.3
2023-03-10,Zona Sur,7500,Viernes,3,0,0,Tormenta,150.3,Comercial,55,0,1,126.6
2023-03-11,Cotahuma,9500,Sábado,3,0,0,Lluvia,58.6,Mixto,70,0,1,103.5
2023-03-12,Villa Fátima,8500,Domingo,3,0,0,Nublado,151.7,Industrial,50,0,1,140.6
2023-03-13,Zona Sur,7500,Lunes,3,1,0,Tormenta,78.6,Residencial,55,0,0,140.9
2023-03-14,Periférica,7000,Martes,3,0,0,Lluvia,149.5,Industrial,60,0,1,153.5
2023-03-15,Zona Sur,7500,Miércoles,3,0,0,Soleado,175.6,Comercial,55,0,1,150.3
2023-03-16,Villa Fátima,8500,Jueves,3,1,0,Lluvia,82.4,Industrial,50,0,1,157.0
2023-03-17,Cotahuma,9500,Viernes,3,0,1,Nublado,183.6,Mixto,70,0,1,254.5
2023-03-18,Miraflores,10000,Sábado,3,0,0,Soleado,181.0,Comercial,85,0,1,252.4
2023-03-19,Zona Sur,7500,Domingo,3,0,0,Nublado,109.3,Comercial,55,0,1,99.3
2023-03-20,Max Paredes,11000,Lunes,3,0,0,Nublado,190.1,Comercial,90,0,1,342.0
2023-03-21,Centro,12000,Martes,3,0,0,Lluvia,103.6,Mixto,95,0,1,240.2
2023-03-22,Villa Fátima,8500,Miércoles,3,0,0,Tormenta,178.0,Mixto,50,0,1,137.2
2023-03-23,Periférica,7000,Jueves,3,0,0,Nublado,155.8,Comercial,60,0,1,180.0
2023-03-24,Sopocachi,10500,Viernes,3,0,0,Nublado,149.3,Comercial,80,0,0,290.0
2023-03-25,Sopocachi,10500,Sábado,3,0,0,Nublado,54.6,Industrial,80,0,1,154.5
2023-03-26,Centro,12000,Domingo,3,0,0,Soleado,152.1,Comercial,95,0,1,300.3
2023-03-27,Sopocachi,10500,Lunes,3,0,0,Soleado,55.8,Mixto,80,0,1,144.0
2023-03-28,Cotahuma,9500,Martes,3,0,0,Tormenta,101.8,Residencial,70,0,0,158.8
2023-03-29,Villa Fátima,8500,Miércoles,3,0,0,Tormenta,87.1,Residencial,50,1,1,118.6
2023-03-30,Miraflores,10000,Jueves,3,0,0,Tormenta,164.3,Residencial,85,0,1,183.4
2023-03-31,Sur,8000,Viernes,3,0,0,Soleado,51.5,Residencial,65,0,1,95.4
2023-04-01,Villa Fátima,8500,Sábado,4,0,0,Tormenta,97.4,Comercial,50,0,1,110.9
2023-04-02,Centro,12000,Domingo,4,0,0,Nublado,147.4,Mixto,95,0,1,287.2
2023-04-03,Cotahuma,9500,Lunes,4,0,0,Soleado,79.8,Comercial,70,0,1,163.3
2023-04-04,Cotahuma,9500,Martes,4,0,0,Tormenta,78.3,Comercial,70,0,0,232.1
2023-04-05,Periférica,7000,Miércoles,4,0,0,Soleado,185.5,Comercial,60,1,1,291.8
2023-04-06,Cotahuma,9500,Jueves,4,0,0,Tormenta,86.9,Mixto,70,0,1,157.8
2023-04-07,Villa Fátima,8500,Viernes,4,0,0,Nublado,193.8,Comercial,50,0,1,174.6
2023-04-08,Max Paredes,11000,Sábado,4,0,0,Lluvia,177.4,Comercial,90,0,1,258.5
2023-04-09,Miraflores,10000,Domingo,4,1,0,Nublado,82.1,Mixto,85,0,1,239.7
2023-04-10,Villa Fátima,8500,Lunes,4,0,0,Lluvia,106.9,Residencial,50,0,1,86.5
2023-04-11,San Pedro,9000,Martes,4,0,0,Tormenta,114.7,Residencial,75,0,1,136.9
2023-04-12,Zona Sur,7500,Miércoles,4,0,0,Lluvia,112.1,Industrial,55,0,1,117.0
2023-04-13,Villa Fátima,8500,Jueves,4,0,0,Nublado,94.9,Comercial,50,0,1,108.2
2023-04-14,Villa Fátima,8500,Viernes,4,0,0,Tormenta,142.4,Residencial,50,0,1,105.8
2023-04-15,Villa Fátima,8500,Sábado,4,0,0,Tormenta,152.4,Residencial,50,0,1,89.5
2023-04-16,Miraflores,10000,Domingo,4,0,0,Soleado,167.0,Residencial,85,0,1,189.1
2023-04-17,San Pedro,9000,Lunes,4,0,0,Soleado,181.9,Industrial,75,0,1,229.9
2023-04-18,Cotahuma,9500,Martes,4,0,0,Lluvia,199.0,Comercial,70,0,1,246.5
2023-04-19,Periférica,7000,Miércoles,4,0,0,Lluvia,100.4,Industrial,60,0,1,150.9
2023-04-20,Sur,8000,Jueves,4,0,0,Nublado,193.2,Mixto,65,0,1,189.4
2023-04-21,Periférica,7000,Viernes,4,0,0,Soleado,176.8,Mixto,60,0,1,165.1
2023-04-22,Zona Sur,7500,Sábado,4,0,0,Soleado,96.8,Comercial,55,0,1,98.2
